Description	Category	Subcategory	Payment	Date	Gains/Expenses	Checking Balance
Beginning Balance	None	None	None	2/28/2021	1317.17	1317.17
Target	Wants	Free Spending	Chase CC	3/1/2021	68.70	1317.17
Rent	Needs	Rent	Checking	3/1/2021	1033.43	283.74
Airbnb	Wants	Free Spending	Chase CC	3/2/2021	191.34	283.74
Carl's Jr.	Wants	Free Spending	Chase CC	3/3/2021	17.21	283.74
CVS	Wants	Free Spending	Chase CC	3/4/2021	9.68	283.74
Speedway	Needs	Gas	Citi CC	3/4/2021	10.00	283.74
McDonald's	Wants	Free Spending	Chase CC	3/4/2021	23.45	283.74
Payday	Income	Earnings	Checking	3/5/2021	1453.65	1737.39
Coinbase	Savings	Crypto Savings	Checking	3/5/2021	40.00	1697.39
Apple CC	Wants	Free Spending	Checking	3/5/2021	53.12	1644.27
Emergency Savings	Savings	Emergency Savings	Checking	3/5/2021	100.00	1544.27
Brokerage Contribution	Savings	Taxable Brokerage	Checking	3/5/2021	100.00	1444.27
Roth IRA Contribution	Savings	Retirement	Checking	3/5/2021	200.00	1244.27
Costco	Wants	Free Spending	Chase CC	3/6/2021	10.87	1244.27
Total Wine	Wants	Free Spending	Chase CC	3/6/2021	43.51	1244.27
Saguaro NP Store (2)	Wants	Free Spending	Chase CC	3/7/2021	2.99	1244.27
Circle K	Wants	Free Spending	Chase CC	3/7/2021	5.66	1244.27
Saguaro NP Store (1)	Wants	Free Spending	Chase CC	3/7/2021	30.95	1244.27
Circle K	Needs	Gas	Citi CC	3/7/2021	53.51	1244.27
America the Beautiful Pass	Wants	Free Spending	Chase CC	3/7/2021	80.00	1244.27
Amazon CC	CC Payment	CC Payment	Checking	3/8/2021	8.61	1235.66
McDonald's	Wants	Free Spending	Amazon CC	3/8/2021	12.21	1235.66
Starbucks	Wants	Free Spending	Amazon CC	3/10/2021	10.00	1235.66
Starbucks	Wants	Free Spending	Amazon CC	3/10/2021	10.00	1235.66
Coinbase	Savings	Crypto Savings	Checking	3/12/2021	40.00	1195.66
Ralph's	Needs	Groceries	Citi CC	3/12/2021	59.56	1195.66
Etsy	Wants	Free Spending	Chase CC	3/12/2021	66.00	1195.66
Electric Bill	Needs	Electric Bill	Checking	3/12/2021	98.14	1097.52
Walmart	Needs	Groceries	Chase CC	3/13/2021	21.95	1097.52
Trader Joe's	Needs	Groceries	Citi CC	3/13/2021	41.36	1097.52
Speedway	Needs	Gas	Citi CC	3/13/2021	59.51	1097.52
Costco	Needs	Groceries	Chase CC	3/13/2021	193.87	1097.52
Federal Loans	Needs	Student Loans	Checking	3/15/2021	108.05	989.47
Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	1.83	989.47
Reimbursement	Wants	Free Spending	Amazon CC	3/16/2021	0.50	989.47
Laundry	Needs	Laundry	Chase CC	3/16/2021	10.00	989.47
Stimulus Check	Income	Earnings	Checking	3/17/2021	1400.00	2389.47
Emergency Savings	Savings	Emergency Savings	Checking	3/17/2021	500.00	1889.47
Payday	Income	Earnings	Checking	3/19/2021	1642.21	3531.68
Reimbursement	Wants	Free Spending	Amazon CC	3/19/2021	0.50	3531.68
Starbucks	Wants	Free Spending	Amazon CC	3/19/2021	10.00	3531.68
Coinbase	Savings	Crypto Savings	Checking	3/19/2021	50.00	3481.68
Emergency Savings	Savings	Emergency Savings	Checking	3/19/2021	100.00	3381.68
Brokerage Contribution	Savings	Taxable Brokerage	Checking	3/19/2021	100.00	3281.68
Roth IRA Contribution	Savings	Retirement	Checking	3/19/2021	200.00	3081.68
Chase CC	CC Payment	CC Payment	Checking	3/19/2021	448.57	2633.11
Wingstop	Wants	Free Spending	Chase CC	3/21/2021	18.51	2633.11
Citi CC	CC Payment	CC Payment	Checking	3/22/2021	152.21	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	4.67	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	34.99	2480.90
LA Fitness	Wants	Subscriptions	Chase CC	3/23/2021	46.05	2480.90
ECSI Loans	Needs	Student Loans	Checking	3/23/2021	500.00	1980.90
Savings Transfer	Income	Savings Transfer	Checking	3/25/2021	400.00	2380.90
Del Taco	Wants	Free Spending	Chase CC	3/25/2021	3.86	2380.90
Speedway	Needs	Gas	Citi CC	3/25/2021	15.00	2380.90
Roth IRA Contribution	Savings	Retirement	Checking	3/25/2021	400.00	1980.90
Starbucks	Wants	Free Spending	Amazon CC	3/26/2021	10.00	1980.90
Chronic Tacos	Wants	Free Spending	Chase CC	3/26/2021	11.74	1980.90
In N Out	Wants	Free Spending	Chase CC	3/26/2021	12.12	1980.90
Bevmo	Wants	Free Spending	Chase CC	3/26/2021	15.40	1980.90
Ralph's	Wants	Free Spending	Chase CC	3/26/2021	19.37	1980.90
Coinbase	Savings	Crypto Savings	Checking	3/26/2021	50.00	1930.90
Draftkings Refund	Wants	Free Spending	Chase CC	3/27/2021	100.00	1930.90
Draftkings	Wants	Free Spending	Chase CC	3/27/2021	100.00	1930.90
Apple Music	Wants	Subscriptions	Chase CC	3/28/2021	9.99	1930.90
Disney+	Wants	Subscriptions	Chase CC	3/28/2021	13.99	1930.90
Speedway	Needs	Gas	Citi CC	3/28/2021	20.68	1930.90
Internet Bill	Needs	Internet Bill	Checking	3/28/2021	73.99	1856.91
Valhalla	Wants	Subscriptions	Checking	3/28/2021	85.00	1771.91
Bovada	Wants	Free Spending	Chase CC	3/28/2021	99.98	1771.91
Car Insurance	Needs	Car Insurance	Checking	3/28/2021	139.00	1632.91
Fogo De Chao	Wants	Free Spending	Chase CC	3/28/2021	180.00	1632.91
Reimbursement	Wants	Free Spending	Amazon CC	3/30/2021	0.50	1632.91
Bill Reimbursement	Income	Reimbursements	Checking	3/31/2021	86.07	1718.98
Payday	Income	Earnings	Checking	4/2/2021	1642.21	3361.19
Starbucks	Wants	Free Spending	Amazon CC	4/2/2021	10.00	3361.19
Coinbase	Savings	Crypto Savings	Checking	4/2/2021	50.00	3311.19
Apple CC	Wants	Free Spending	Checking	4/2/2021	53.12	3258.07
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/2/2021	100.00	3158.07
Emergency Savings	Savings	Emergency Savings	Checking	4/2/2021	100.00	3058.07
Roth IRA Contribution	Savings	Retirement	Checking	4/2/2021	200.00	2858.07
Rent	Needs	Rent	Checking	4/2/2021	1034.39	1823.68
Poke Me	Wants	Free Spending	Chase CC	4/5/2021	15.07	1823.68
Speedway	Needs	Gas	Citi CC	4/5/2021	61.11	1823.68
DashPass	Wants	Free Spending	Chase CC	4/7/2021	4.99	1823.68
DoorDash	Wants	Free Spending	Chase CC	4/7/2021	21.00	1823.68
Electric Bill	Needs	Electric Bill	Checking	4/7/2021	49.60	1774.08
Chevron	Wants	Free Spending	Chase CC	4/9/2021	19.98	1774.08
Jersey Mike's	Wants	Free Spending	Chase CC	4/9/2021	23.43	1774.08
Coinbase	Savings	Crypto Savings	Checking	4/9/2021	50.00	1724.08
Looney Bean	Wants	Free Spending	Chase CC	4/10/2021	15.05	1724.08
Erick Schat's	Wants	Free Spending	Chase CC	4/10/2021	70.63	1724.08
Von's	Wants	Free Spending	Chase CC	4/10/2021	105.72	1724.08
Mammoth Brewing	Wants	Free Spending	Chase CC	4/11/2021	9.74	1724.08
Mammoth Brewing	Wants	Free Spending	Chase CC	4/11/2021	55.71	1724.08
SoFi	Savings	Taxable Brokerage	Checking	4/12/2021	10.00	1714.08
Domino's	Wants	Free Spending	Chase CC	4/12/2021	27.00	1714.08
ECSI Loans	Needs	Student Loans	Checking	4/13/2021	260.00	1454.08
DoorDash	Wants	Free Spending	Chase CC	4/14/2021	18.00	1454.08
SoFi	Savings	Taxable Brokerage	Checking	4/14/2021	22.00	1432.08
Federal Loans	Needs	Student Loans	Checking	4/14/2021	108.05	1324.03
Amazon CC	CC Payment	CC Payment	Checking	4/15/2021	58.88	1265.15
Ralph's	Needs	Groceries	Citi CC	4/15/2021	63.86	1265.15
Chase CC	CC Payment	CC Payment	Checking	4/15/2021	942.89	322.26
Payday	Income	Earnings	Checking	4/16/2021	1642.20	1964.46
Coinbase	Savings	Crypto Savings	Checking	4/16/2021	50.00	1914.46
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/16/2021	100.00	1814.46
Roth IRA Contribution	Savings	Retirement	Checking	4/16/2021	200.00	1614.46
McDonald's	Wants	Free Spending	Chase CC	4/19/2021	8.28	1614.46
Starbucks	Wants	Free Spending	Amazon CC	4/19/2021	10.00	1614.46
Withdrawal	Wants	Free Spending	Checking	4/19/2021	40.00	1574.46
Citi CC	CC Payment	CC Payment	Checking	4/19/2021	259.62	1314.84
SoFi	Savings	Taxable Brokerage	Checking	4/20/2021	20.00	1294.84
DoorDash	Wants	Free Spending	Chase CC	4/20/2021	25.00	1294.84
LA Fitness	Wants	Subscriptions	Chase CC	4/20/2021	34.99	1294.84
Speedway	Wants	Free Spending	Citi CC	4/21/2021	16.47	1294.84
Deposit	Income	Earnings	Checking	4/22/2021	200.00	1494.84
Trader Joe's	Needs	Groceries	Citi CC	4/22/2021	63.05	1494.84
Withdrawal	Income	Earnings	Checking	4/22/2021	100.00	1394.84
Coinbase	Savings	Crypto Savings	Checking	4/23/2021	50.00	1344.84
CVS	Wants	Free Spending	Chase CC	4/25/2021	3.87	1344.84
McDonald's	Wants	Free Spending	Amazon CC	4/25/2021	20.55	1344.84
Amazon	Wants	Free Spending	Amazon CC	4/26/2021	35.44	1344.84
Brokerage Contribution	Savings	Taxable Brokerage	Checking	4/26/2021	200.00	1144.84
SoFi	Savings	Taxable Brokerage	Checking	4/27/2021	20.00	1124.84
Apple Music	Wants	Subscriptions	Chase CC	4/28/2021	9.99	1124.84
Disney+	Wants	Subscriptions	Chase CC	4/28/2021	13.99	1124.84
Internet Bill	Needs	Internet Bill	Checking	4/28/2021	73.99	1050.85
Car Insurance	Needs	Car Insurance	Checking	4/28/2021	139.00	911.85
Bill Reimbursement	Income	Reimbursements	Checking	4/30/2021	61.79	973.64
Payday	Income	Earnings	Checking	4/30/2021	1642.22	2615.86
Chipotle	Wants	Free Spending	Chase CC	4/30/2021	11.48	2615.86
Coinbase	Savings	Crypto Savings	Checking	4/30/2021	50.00	2565.86
Speedway	Needs	Gas	Citi CC	4/30/2021	64.94	2565.86
Valhalla	Wants	Subscriptions	Checking	4/30/2021	85.00	2480.86
Philz Coffee	Wants	Free Spending	Chase CC	5/1/2021	4.14	2480.86
PetSmart	Wants	Free Spending	Chase CC	5/1/2021	18.59	2480.86
Chipotle	Wants	Free Spending	Chase CC	5/1/2021	22.83	2480.86
Target	Needs	Groceries	Citi CC	5/1/2021	31.59	2480.86
HomeGoods	Wants	Free Spending	Chase CC	5/1/2021	87.59	2480.86
Rent	Needs	Rent	Checking	5/1/2021	1035.39	1445.47
Domino's	Wants	Free Spending	Chase CC	5/2/2021	24.15	1445.47
Costco	Needs	Groceries	Chase CC	5/2/2021	131.33	1445.47
SoFi	Savings	Taxable Brokerage	Checking	5/3/2021	20.00	1425.47
Apple CC	Wants	Free Spending	Checking	5/3/2021	53.12	1372.35
Tax Preparation Fee	Needs	Taxes	Checking	5/3/2021	100.00	1272.35
OC Court	Needs	Emergency	Checking	5/3/2021	288.61	983.74
DoorDash	Wants	Subscriptions	Chase CC	5/7/2021	4.99	983.74
In N Out	Wants	Free Spending	Chase CC	5/7/2021	8.40	983.74
Coinbase	Savings	Crypto Savings	Checking	5/7/2021	50.00	933.74
Mother's Day	Income	Reimbursements	Checking	5/8/2021	55.00	988.74
Parking	Wants	Free Spending	Chase CC	5/8/2021	1.80	988.74
Amazon CC	CC Payment	CC Payment	Checking	5/8/2021	65.99	922.75
Mother's Day	Wants	Free Spending	Chase CC	5/8/2021	109.77	922.75
Parking	Wants	Free Spending	Chase CC	5/9/2021	7.80	922.75
Speedway	Needs	Gas	Citi CC	5/9/2021	47.79	922.75
SoFi	Savings	Taxable Brokerage	Checking	5/10/2021	20.00	902.75
Electric Bill	Needs	Electric Bill	Checking	5/10/2021	29.95	872.80
HiroNori	Wants	Free Spending	Checking	5/10/2021	31.52	841.28
CVS	Wants	Free Spending	Citi CC	5/10/2021	32.12	841.28
Stephanie	Wants	Free Spending	Checking	5/10/2021	90.00	751.28
Payday	Income	Earnings	Checking	5/14/2021	1642.20	2393.48
Del Taco	Wants	Free Spending	Chase CC	5/14/2021	6.32	2393.48
Chipotle	Wants	Free Spending	Chase CC	5/14/2021	11.48	2393.48
Coinbase	Savings	Crypto Savings	Checking	5/14/2021	50.00	2343.48
Federal Loans	Needs	Student Loans	Checking	5/14/2021	108.05	2235.43
Brokerage Contribution	Savings	Taxable Brokerage	Checking	5/14/2021	200.00	2035.43
Chase CC	CC Payment	CC Payment	Checking	5/14/2021	762.42	1273.01
Starbucks	Wants	Free Spending	Chase CC	5/15/2021	2.69	1273.01
Nate's Korner	Wants	Free Spending	Chase CC	5/15/2021	12.51	1273.01
Speedway	Wants	Free Spending	Citi CC	5/16/2021	14.96	1273.01
Starbucks	Wants	Free Spending	Amazon CC	5/17/2021	20.00	1273.01
Emergency Savings	Savings	Emergency Savings	Checking	5/17/2021	200.00	1073.01
Federal Taxes	Needs	Taxes	Checking	5/17/2021	245.00	828.01
Citi CC	CC Payment	CC Payment	Checking	5/17/2021	301.02	526.99
McDonald's	Wants	Free Spending	Chase CC	5/18/2021	13.77	526.99
SoFi	Savings	Taxable Brokerage	Checking	5/18/2021	20.00	506.99
DoorDash	Wants	Free Spending	Chase CC	5/18/2021	25.00	506.99
Ericka ReimbursementLA Fitness	Wants	Subscriptions	Chase CC	5/20/2021	34.99	506.99
Walmart	Needs	Groceries	Chase CC	5/20/2021	61.90	506.99
Costco	Needs	Groceries	Chase CC	5/20/2021	318.74	506.99
Reimbursement	Wants	Free Spending	Chase CC	5/21/2021	0.57	506.99
Coinbase	Savings	Crypto Savings	Checking	5/21/2021	50.00	456.99
Reimbursement	Income	Reimbursements	Amazon CC	5/22/2021	1.00	456.99
Left Coast Brewery	Wants	Free Spending	Chase CC	5/22/2021	30.00	456.99
Speedway	Needs	Gas	Citi CC	5/22/2021	53.53	456.99
REI	Wants	Free Spending	Chase CC	5/22/2021	71.33	456.99
McDonald's	Wants	Free Spending	Chase CC	5/23/2021	9.38	456.99
CC Rewards	Income	Reimbursements	Checking	5/24/2021	71.33	528.32
McDonald's	Wants	Free Spending	Chase CC	5/24/2021	10.23	528.32
SoFi	Savings	Taxable Brokerage	Checking	5/24/2021	20.00	508.32
Stephanie	Wants	Free Spending	Checking	5/24/2021	50.00	458.32
Renter's Insurance	Needs	Renter's Insurance	Checking	5/24/2021	59.50	398.82
CA Tax Return	Income	Tax Return	Checking	5/26/2021	319.00	717.82
Withdrawal	Wants	Free Spending	Checking	5/27/2021	40.00	677.82
Payday	Income	Earnings	Checking	5/28/2021	2298.79	2976.61
Fry's	Income	Reimbursements	Checking	5/28/2021	50.00	3026.61
Apple Music	Wants	Subscriptions	Chase CC	5/28/2021	9.99	3026.61
SoFi	Savings	Crypto Savings	Checking	5/28/2021	10.00	3016.61
Chick-Fil-A	Wants	Free Spending	Chase CC	5/28/2021	12.91	3016.61
Disney+	Wants	Subscriptions	Chase CC	5/28/2021	13.99	3016.61
In N Out	Wants	Free Spending	Chase CC	5/28/2021	15.35	3016.61
Bevmo	Wants	Free Spending	Chase CC	5/28/2021	25.54	3016.61
Speedway	Needs	Gas	Citi CC	5/28/2021	26.86	3016.61
Coinbase	Savings	Crypto Savings	Checking	5/28/2021	50.00	2966.61
Speedway	Wants	Free Spending	Citi CC	5/28/2021	58.05	2966.61
Internet Bill	Needs	Internet Bill	Checking	5/28/2021	73.99	2892.62
Fry's	Wants	Free Spending	Chase CC	5/28/2021	81.96	2892.62
Car Insurance	Needs	Car Insurance	Checking	5/28/2021	139.00	2753.62
Brokerage Contribution	Savings	Taxable Brokerage	Checking	5/28/2021	200.00	2553.62
Emergency Savings	Savings	Emergency Savings	Checking	5/28/2021	200.00	2353.62
Bill Reimbursement	Income	Reimbursements	Checking	5/31/2021	81.72	2435.34
McDonald's	Wants	Free Spending	Chase CC	5/31/2021	5.21	2435.34
Chevron	Needs	Gas	Chase CC	5/31/2021	52.93	2435.34
Chevron	Needs	Gas	Citi CC	5/31/2021	66.00	2435.34
Delsushi	Wants	Free Spending	Chase CC	6/1/2021	33.97	2435.34
Valhalla	Wants	Subscriptions	Checking	6/1/2021	85.00	2350.34
Rent	Needs	Rent	Checking	6/1/2021	1035.50	1314.84
SoFi	Savings	Taxable Brokerage	Checking	6/2/2021	20.00	1294.84
McDonald's	Wants	Free Spending	Chase CC	6/3/2021	4.19	1294.84
Del Taco	Wants	Free Spending	Chase CC	6/3/2021	12.24	1294.84
Chipotle	Wants	Free Spending	Chase CC	6/3/2021	20.00	1294.84
Coinbase	Savings	Crypto Savings	Checking	6/3/2021	47.27	1247.57
Robinhood	Income	Reimbursements	Checking	6/4/2021	27.56	1275.13
Coinbase	Savings	Crypto Savings	Checking	6/4/2021	50.00	1225.13
McDonald's	Wants	Free Spending	Chase CC	6/5/2021	6.12	1225.13
Zion Mart	Wants	Free Spending	Citi CC	6/6/2021	5.43	1225.13
El Pollo Loco	Wants	Free Spending	Chase CC	6/7/2021	10.01	1225.13
SoFi	Savings	Taxable Brokerage	Checking	6/7/2021	20.00	1205.13
Apple CC	Wants	Free Spending	Checking	6/7/2021	53.12	1152.01
SoFi	Income	Reimbursements	Checking	6/8/2021	19.71	1171.72
Target	Wants	Free Spending	Chase CC	6/8/2021	133.57	1171.72
In N Out	Wants	Free Spending	Chase CC	6/9/2021	8.40	1171.72
Scabs Gift	Wants	Free Spending	Checking	6/9/2021	50.00	1121.72
Electric Bill	Needs	Electric Bill	Checking	6/10/2021	51.86	1069.86
Payday	Income	Earnings	Checking	6/11/2021	1642.22	2712.08
Amazon CC	CC Payment	CC Payment	Checking	6/11/2021	19.00	2693.08
Poke Me	Wants	Free Spending	Chase CC	6/11/2021	32.19	2693.08
Coinbase	Savings	Crypto Savings	Checking	6/11/2021	50.00	2643.08
Walmart	Needs	Groceries	Chase CC	6/11/2021	80.71	2643.08
Brokerage Contribution	Savings	Taxable Brokerage	Checking	6/11/2021	200.00	2443.08
Emergency Savings	Savings	Emergency Savings	Checking	6/11/2021	200.00	2243.08
Citi CC	CC Payment	CC Payment	Checking	6/11/2021	299.31	1943.77
Chase CC	CC Payment	CC Payment	Checking	6/11/2021	1059.62	884.15
Rose Bakery Cafe	Wants	Free Spending	Chase CC	6/12/2021	41.83	884.15
Costco Food	Wants	Free Spending	Chase CC	6/13/2021	4.29	884.15
Car Wash	Wants	Free Spending	Chase CC	6/13/2021	21.99	884.15
The Habit	Wants	Free Spending	Chase CC	6/13/2021	33.36	884.15
Speedway	Needs	Gas	Citi CC	6/13/2021	56.38	884.15
Costco	Needs	Groceries	Chase CC	6/13/2021	115.02	884.15
Laundry	Needs	Laundry	Chase CC	6/14/2021	20.00	884.15
SoFi	Savings	Taxable Brokerage	Checking	6/14/2021	20.00	864.15
Amazon	Wants	Free Spending	Amazon CC	6/14/2021	56.71	864.15
Federal Loans	Needs	Student Loans	Checking	6/14/2021	108.05	756.10
Stephanie Yoga	Wants	Free Spending	Checking	6/14/2021	155.00	601.10
Punjabi Tandoor	Wants	Free Spending	Chase CC	6/16/2021	17.00	601.10
McDonald's	Wants	Free Spending	Chase CC	6/18/2021	14.74	601.10
Coinbase	Savings	Crypto Savings	Checking	6/18/2021	50.00	551.10
Roscoe's	Wants	Free Spending	Chase CC	6/20/2021	33.00	551.10
LA Fitness	Wants	Subscriptions	Chase CC	6/20/2021	34.99	551.10
Laundry	Needs	Laundry	Chase CC	6/21/2021	10.00	551.10
Chevron	Needs	Gas	Citi CC	6/21/2021	10.08	551.10
Salt and Straw	Wants	Free Spending	Chase CC	6/21/2021	14.85	551.10
SoFi	Savings	Taxable Brokerage	Checking	6/21/2021	20.00	531.10
Speedway	Needs	Gas	Citi CC	6/23/2021	68.29	531.10
Payday	Income	Earnings	Checking	6/25/2021	1585.04	2116.14
Chipotle	Wants	Free Spending	Chase CC	6/25/2021	12.55	2116.14
Coinbase	Savings	Crypto Savings	Checking	6/25/2021	50.00	2066.14
Walmart	Needs	Groceries	Chase CC	6/25/2021	71.78	2066.14
Brokerage Contribution	Savings	Taxable Brokerage	Checking	6/25/2021	200.00	1866.14
Emergency Savings	Savings	Emergency Savings	Checking	6/25/2021	200.00	1666.14
IHOP	Wants	Free Spending	Chase CC	6/27/2021	42.00	1666.14
Reimbursement	Income	Reimbursements	Checking	6/28/2021	21.00	1687.14
Apple Music	Wants	Subscriptions	Chase CC	6/28/2021	9.99	1687.14
Disney+	Wants	Subscriptions	Chase CC	6/28/2021	13.99	1687.14
SoFi	Savings	Taxable Brokerage	Checking	6/28/2021	20.00	1667.14
Internet Bill	Needs	Internet Bill	Checking	6/28/2021	73.99	1593.15
Withdrawal	Wants	Free Spending	Checking	6/28/2021	100.00	1493.15
Laundry	Needs	Laundry	Chase CC	6/29/2021	10.00	1493.15
Costco	Needs	Groceries	Chase CC	6/29/2021	109.69	1493.15
Car Insurance	Needs	Car Insurance	Checking	6/29/2021	139.00	1354.15
Bill Reimbursement	Income	Reimbursements	Checking	6/30/2021	62.93	1417.08
Stock Portfolio	Income	Earnings	Checking	6/30/2021	478.57	1895.65
Valhalla	Wants	Subscriptions	Checking	7/1/2021	100.00	1795.65
Rent	Needs	Rent	Checking	7/1/2021	1035.19	760.46
Robinhood	Wants	Free Spending	Checking	7/2/2021	5.00	755.46
In N Out	Wants	Free Spending	Chase CC	7/2/2021	8.40	755.46
McDonald's	Wants	Free Spending	Chase CC	7/2/2021	12.46	755.46
Zenko Sushi	Wants	Free Spending	Chase CC	7/2/2021	40.00	755.46
Coinbase	Savings	Crypto Savings	Checking	7/2/2021	50.00	705.46
Speedway	Needs	Gas	Citi CC	7/3/2021	53.57	705.46
EL Pollo Loco	Wants	Free Spending	Chase CC	7/4/2021	19.15	705.46
Target	Wants	Free Spending	Chase CC	7/5/2021	4.83	705.46
Total Wine	Wants	Free Spending	Chase CC	7/5/2021	26.47	705.46
Nordstrom Rack	Wants	Free Spending	Chase CC	7/5/2021	32.26	705.46
IHOP	Wants	Free Spending	Chase CC	7/5/2021	50.00	705.46
SoFi	Savings	Taxable Brokerage	Checking	7/7/2021	20.00	685.46
Del Taco	Wants	Free Spending	Chase CC	7/8/2021	10.95	685.46
Bear Flag	Wants	Free Spending	Chase CC	7/8/2021	25.01	685.46
Payday	Income	Earnings	Checking	7/9/2021	1642.21	2327.67
Ralph's	Wants	Free Spending	Citi CC	7/9/2021	31.46	2327.67
Withdrawal	Wants	Free Spending	Checking	7/9/2021	40.00	2287.67
Coinbase	Savings	Crypto Savings	Checking	7/9/2021	50.00	2237.67
Amazon CC	CC Payment	CC Payment	Checking	7/9/2021	56.71	2180.96
Electric Bill	Needs	Electric Bill	Checking	7/9/2021	74.42	2106.54
Brokerage Contribution	Savings	Taxable Brokerage	Checking	7/9/2021	200.00	1906.54
Emergency Savings	Savings	Emergency Savings	Checking	7/9/2021	200.00	1706.54
Chase CC	CC Payment	CC Payment	Checking	7/9/2021	1004.68	701.86
Speedway	Needs	Gas	Citi CC	7/10/2021	62.59	701.86
Albertson's	Wants	Free Spending	Citi CC	7/11/2021	11.34	701.86
Domino's	Wants	Free Spending	Chase CC	7/11/2021	26.00	701.86
McDonald's	Wants	Free Spending	Chase CC	7/12/2021	4.85	701.86
Watermans	Wants	Free Spending	Chase CC	7/12/2021	23.00	701.86
Photasia	Wants	Free Spending	Chase CC	7/12/2021	25.95	701.86
Traffic School	Wants	Free Spending	Chase CC	7/12/2021	39.95	701.86
Apple CC	CC Payment	CC Payment	Checking	7/12/2021	53.12	648.74
SoFi	Savings	Taxable Brokerage	Checking	7/13/2021	20.00	628.74
ECSI Loans	Needs	Student Loans	Checking	7/13/2021	260.00	368.74
Savings Transfer	Income	Savings Transfer	Checking	7/14/2021	100.00	468.74
El Pollo Loco	Wants	Free Spending	Chase CC	7/14/2021	12.37	468.74
Federal Loans	Needs	Student Loans	Checking	7/14/2021	108.05	360.69
Chick-Fil-A	Wants	Free Spending	Chase CC	7/15/2021	14.70	360.69
Trader Joe's	Needs	Groceries	Citi CC	7/15/2021	111.65	360.69
Coinbase	Savings	Crypto Savings	Checking	7/16/2021	50.00	310.69
Amazon	Wants	Free Spending	Amazon CC	7/16/2021	74.84	310.69
Starbucks	Wants	Free Spending	Amazon CC	7/18/2021	9.50	310.69
Hen House	Wants	Free Spending	Chase CC	7/18/2021	37.65	310.69
Speedway	Needs	Gas	Citi CC	7/18/2021	56.20	310.69
SoFi	Savings	Taxable Brokerage	Checking	7/19/2021	20.00	290.69
DMV Registration	Needs	Misc.	Chase CC	7/20/2021	30.69	290.69
LA Fitness	Wants	Subscriptions	Chase CC	7/20/2021	34.99	290.69
In N Out	Wants	Free Spending	Chase CC	7/22/2021	8.40	290.69
Payday	Income	Earnings	Checking	7/23/2021	1642.19	1932.88
Little Caesar's	Wants	Free Spending	Chase CC	7/23/2021	39.25	1932.88
Coinbase	Savings	Crypto Savings	Checking	7/23/2021	50.00	1882.88
Citi CC	CC Payment	CC Payment	Checking	7/23/2021	140.18	1742.70
Brokerage Contribution	Savings	Taxable Brokerage	Checking	7/23/2021	200.00	1542.70
Emergency Savings	Savings	Emergency Savings	Checking	7/23/2021	200.00	1342.70
Chipotle	Wants	Free Spending	Chase CC	7/24/2021	17.74	1342.70
El Antojito	Wants	Free Spending	Chase CC	7/24/2021	20.19	1342.70
Cold Stone	Wants	Free Spending	Chase CC	7/25/2021	10.00	1342.70
Trader Joe's	Wants	Free Spending	Citi CC	7/25/2021	15.92	1342.70
Lucky Chinese	Wants	Free Spending	Chase CC	7/25/2021	23.82	1342.70
McDonald's	Wants	Free Spending	Chase CC	7/26/2021	12.26	1342.70
SoFi	Savings	Taxable Brokerage	Checking	7/26/2021	20.00	1322.70
Petsmart	Wants	Free Spending	Chase CC	7/27/2021	19.52	1322.70
Costco	Needs	Groceries	Chase CC	7/27/2021	164.41	1322.70
Disney+	Wants	Subscriptions	Chase CC	7/28/2021	13.99	1322.70
Internet Bill	Needs	Internet Bill	Checking	7/28/2021	73.99	1248.71
Car Insurance	Needs	Car Insurance	Checking	7/29/2021	139.00	1109.71
Misc	Wants	Free Spending	Citi CC	7/30/2021	5.55	1109.71
Coinbase	Savings	Crypto Savings	Checking	7/30/2021	50.00	1059.71
Valhalla	Wants	Subscriptions	Checking	7/30/2021	100.00	959.71
Bill Reimbursement	Income	Reimbursements	Checking	7/31/2021	74.20	1033.91
Frida Parking	Wants	Free Spending	Chase CC	7/31/2021	6.00	1033.91
The Frida Cinema	Wants	Free Spending	Chase CC	7/31/2021	8.50	1033.91
Wursthaus	Wants	Free Spending	Chase CC	7/31/2021	8.70	1033.91
Wursthaus	Wants	Free Spending	Chase CC	7/31/2021	33.48	1033.91
Nate's Korner	Wants	Free Spending	Chase CC	8/1/2021	12.51	1033.91
Speedway	Needs	Gas	Citi CC	8/1/2021	68.21	1033.91
Stock Portfolio	Income	Earnings	Checking	8/3/2021	341.78	1375.69
Stock Portfolio	Income	Earnings	Checking	8/3/2021	340.18	1715.87
Stock Portfolio	Income	Earnings	Checking	8/3/2021	0.59	1716.46
Rent	Needs	Rent	Checking	8/3/2021	120.49	1595.97
Oaxaca Airbnb	Wants	Free Spending	Chase CC	8/3/2021	581.39	1595.97
Oaxaca Flight	Wants	Free Spending	Chase CC	8/3/2021	687.90	1595.97
Rent	Needs	Rent	Checking	8/3/2021	913.43	682.54
In N Out	Wants	Free Spending	Chase CC	8/5/2021	8.40	682.54
Carls Jr	Wants	Free Spending	Chase CC	8/5/2021	12.92	682.54
